symbol,vol_abs,correlation_btc,cluster,distance_to_centroid
NEO/USDT,0.007613042958857498,0.7520426674375947,0,0.8562218822955776
MANA/USDT,0.01035726343201163,0.6503215035168248,0,0.1171201371017483
JTO/USDT,0.014362858276051951,0.43720802621801463,0,1.687327369472038
LPT/USDT,0.010901925075824076,0.4227100452658211,0,1.1478832276971516
1INCH/USDT,0.008727212600248798,0.6754453414971796,0,0.3908124373401791
EGLD/USDT,0.00888496089922373,0.7383453369463451,0,0.5239317273112551
A/USDT,0.008415049378531827,0.7396402046125822,0,0.6270281817381347
AMP/USDT,0.007789914641874565,0.4694913661791566,0,1.105941926239934
EIGEN/USDT,0.010498118523726632,0.7243150223099899,0,0.3753938015728021
COW/USDT,0.011521422040295255,0.5748259874461125,0,0.602666007205739
GALA/USDT,0.00926899136222753,0.7529486421495841,0,0.523463185810794
RAY/USDT,0.011436221988497247,0.6726313374953223,0,0.45128458616692085
BAT/USDT,0.009612688081027883,0.6872052652711476,0,0.19478773777866643
SENT/USDT,0.021376187009836577,0.11705112047655837,0,4.307672091635304
XEC/USDT,0.007373232838808739,0.7702167089300769,0,0.9655948588578178
RUNE/USDT,0.007188026032026623,0.8725912332312875,0,1.3493441322947952
BERA/USDT,0.01903926615379442,0.23544412109595603,0,3.4006710160564144
0G/USDT,0.015383253286834203,0.32006220290751625,0,2.2926497429052177
STG/USDT,0.015414023284708742,0.3851270109047986,0,2.092103758750681
GAS/USDT,0.009732319027676033,0.4816914970168272,0,0.8320526405517059
S/USDT,0.01081500033717842,0.6735545727985115,0,0.2716820004546895
SNX/USDT,0.011838615953557076,0.5396182026918696,0,0.7872616301072304
W/USDT,0.009900770981715538,0.7093962820562062,0,0.2692789532307275
AWE/USDT,0.011966041137260646,0.28447821049073635,0,1.8782728299878664
XVG/USDT,0.011161502204806256,0.5963022568152555,0,0.453161962189377
RSR/USDT,0.009187709842727617,0.761934742371604,0,0.5730288356618429
YFI/USDT,0.007524249258809389,0.7116293738719417,0,0.7908559906879151
ZEN/USDT,0.01024024733681372,0.7251487761178528,0,0.35360582189484935
QTUM/USDT,0.007901480228240498,0.7642286859395581,0,0.8219007354514315
FTT/USDT,0.010868585719620858,0.4038530991524541,0,1.233946382593833
FOGO/USDT,0.016184604150879075,0.26034998758734335,0,2.667263517073859
TFUEL/USDT,0.008156104636554409,0.47681811882559466,0,1.013876355523373
AR/USDT,0.011051935940156429,0.6630973013769361,0,0.3289953245813234
HOME/USDT,0.008464759127092283,0.34450378587486963,0,1.5580863399887401
ZRX/USDT,0.008928906810558732,0.7130389283503055,0,0.4258419510781293
EDU/USDT,0.01138235047991557,0.46271184748363425,0,1.013999989983937
MET/USDT,0.00965398238169979,0.6834774918461968,0,0.17291922990375197
RVN/USDT,0.0083775655280889,0.7452397542696051,0,0.6534774124679176
KMNO/USDT,0.008808270052910749,0.604433735675838,0,0.4245846330952343
KSM/USDT,0.009168996190792205,0.7341037843402668,0,0.4573551509152256
SUN/USDT,0.004442364650375834,0.45265892790321716,1,1.7768977556740206
FDUSD/USDT,0.000151721003710069,0.19143470216559635,1,0.36421484783399
RLUSD/USDT,9.778359512857605e-05,-0.03905214513299581,1,0.953072310730306
PAXG/USDT,0.0038198145753962653,0.2348447073567774,1,0.9132731088726981
USDE/USDT,9.952949006206667e-05,0.052003796915175704,1,0.5574060653918007
USD1/USDT,0.00015373162960565095,0.10435291125023592,1,0.36281212321540685
TRX/USDT,0.0022574412508229343,0.4409648931871705,1,1.4531162050826776
USDC/USDT,9.81261921362793e-05,-0.07414582288516938,1,1.1141309598078788
U/USDT,0.00011824085593610127,0.009115394812414513,1,0.7352341025109226
TUSD/USDT,0.000113843744946066,0.10513075552870411,1,0.3706380577428369
